Date,Expire Date,Option Type,Strike,Contract Name,Last,Bid,Ask,Change,%Change,Volume,Open Interest,Implied Volatility
22.11.2018,23.11.2018,CALL,74.5,XOM181123C00074500,4.0,3.0,3.2,0.0,0.0,4,0,0.45117736328125
22.11.2018,23.11.2018,CALL,78.0,XOM181123C00078000,0.15,0.11,0.13,-0.08999999,-37.499996,186,811,0.13086806640624998
22.11.2018,23.11.2018,CALL,79.0,XOM181123C00079000,0.02,0.0,0.02,-0.04,-66.66667,626,722,0.15235222656250003
22.11.2018,23.11.2018,PUT,65.0,XOM181123P00065000,0.02,0.0,0.04,0.0,100.0,1,51,1.0312548437500002
22.11.2018,23.11.2018,PUT,71.0,XOM181123P00071000,0.01,0.0,0.02,0.0,0.0,40,51,0.51562984375
22.11.2018,23.11.2018,PUT,71.5,XOM181123P00071500,0.11,0.0,0.02,0.0,0.0,6,8,0.5312546875
22.11.2018,23.11.2018,PUT,74.5,XOM181123P00074500,0.11,0.0,0.02,0.0,0.0,113,132,0.2929758203124999
22.11.2018,23.11.2018,PUT,78.0,XOM181123P00078000,0.45,0.52,0.56,-0.85999995,-65.64886,482,789,0.12500875
22.11.2018,23.11.2018,PUT,79.0,XOM181123P00079000,1.14,1.4,1.45,-0.88,-43.564354,96,98,0.132821171875
22.11.2018,23.11.2018,PUT,93.0,XOM181123P00093000,12.6,15.35,15.5,0.0,0.0,1,0,1.2109414453124998
